83 70 69 73 69 P1
83 70 69 75 69 P1
83 71 69 75 69 P1
84 71 70 75 69 P1
84 71 70 74 69 P1
84 71 70 74 69 P1
83 73 71 73 69 P1
84 73 70 71 65 P1
83 70 77 69 68 P1
82 69 69 73 69 P1
83 66 70 71 65 P1
82 77 65 68 62 P1
75 75 67 68 69 P1
74 81 79 70 68 P1
65 80 78 77 77 P1
69 81 77 79 77 P1
66 81 72 77 76 P1
79 79 81 77 73 P1
80 77 77 75 72 P1
81 82 75 71 74 P1
81 83 75 71 74 P1
80 78 63 76 75 P1
79 82 82 71 69 P1
78 80 71 74 71 P1
66 80 74 75 64 P1
78 82 54 62 64 P1
74 83 75 71 67 P1
85 75 66 69 71 P1
90 70 62 75 68 P1
83 81 78 69 69 P1
85 75 71 69 68 P1
84 71 65 71 68 P1
85 73 68 69 69 P1
83 73 68 71 71 P1
65 78 70 73 62 P1
83 75 69 73 69 P1
83 73 63 75 69 P1
83 73 62 75 68 P1
85 76 75 62 67 P2
85 77 77 60 67 P2
85 76 77 60 67 P2
84 76 77 61 67 P2
81 77 77 64 65 P2
81 76 75 66 65 P2
82 77 75 65 65 P2
83 75 75 64 65 P2
83 77 77 60 63 P2
79 79 66 67 66 P2
85 74 68 64 67 P2
84 70 71 68 65 P2
82 69 69 71 54 P2
82 66 69 69 53 P2
83 69 63 69 62 P2
85 73 66 68 58 P2
85 74 67 69 61 P2
85 75 70 68 63 P2
82 74 68 68 67 P2
81 78 73 63 61 P2
77 77 69 67 59 P2
79 74 64 67 61 P2
83 72 59 68 53 P2
83 71 59 66 57 P2
84 71 56 66 63 P2
85 70 65 67 65 P2
83 67 67 68 65 P2
83 71 66 69 61 P2
81 69 69 69 56 P2
81 72 69 63 60 P2
84 68 70 67 56 P2
83 69 74 66 63 P2
83 68 73 66 63 P2
85 66 65 66 62 P2
83 63 65 65 61 P2
82 78 71 75 65 P3
83 78 71 75 66 P3
82 79 73 75 66 P3
83 78 71 77 65 P3
83 77 70 77 63 P3
85 77 56 75 61 P3
85 77 65 75 61 P3
85 76 64 76 63 P3
83 79 73 75 63 P3
83 77 69 73 63 P3
84 77 64 74 63 P3
84 77 55 74 63 P3
83 77 54 74 63 P3
83 77 52 74 63 P3
83 77 57 73 63 P3
85 77 59 75 65 P3
85 77 67 76 65 P3
85 77 67 75 63 P3
84 77 61 74 63 P3
83 77 62 72 64 P3
84 77 64 74 65 P3
85 77 63 75 66 P3
85 77 60 75 65 P3
85 77 53 73 64 P3
85 76 67 74 57 P3
83 79 67 75 65 P3
85 80 72 74 66 P3
83 82 69 73 63 P3
83 82 72 73 63 P3
83 79 75 75 68 P3
84 78 73 77 69 P3
86 73 72 77 69 P3
84 75 66 75 69 P3
83 75 61 75 69 P3
85 74 71 75 68 P3
85 73 74 75 65 P3
75 80 75 70 71 P4
75 83 75 69 71 P4
71 81 75 68 70 P4
69 81 74 69 69 P4
70 83 75 67 69 P4
71 81 75 69 71 P4
73 79 71 71 71 P4
75 79 71 74 71 P4
75 77 70 75 71 P4
74 78 71 74 71 P4
72 79 73 73 71 P4
73 78 71 73 71 P4
71 77 69 74 73 P4
72 82 68 69 73 P4
73 81 69 71 71 P4
75 79 75 71 72 P4
75 79 74 71 71 P4
75 77 71 75 73 P4
75 79 71 73 72 P4
76 79 71 72 72 P4
75 81 71 70 71 P4
75 81 73 67 71 P4
75 81 73 67 71 P4
73 79 69 72 72 P4
75 77 69 75 73 P4
75 78 69 74 74 P4
75 79 69 73 74 P4
75 76 69 75 73 P4
75 77 68 75 71 P4
75 78 67 73 71 P4
71 80 74 67 71 P4
75 80 73 67 71 P4
75 80 73 73 74 P4
73 79 70 72 72 P4
69 79 75 68 71 P4
73 79 71 69 71 P4
73 80 67 69 71 P4
73 78 75 71 55 P5
78 80 79 71 56 P5
78 79 79 71 58 P5
78 78 79 73 60 P5
77 72 78 76 62 P5
77 77 77 75 64 P5
76 78 77 76 64 P5
73 79 71 74 62 P5
69 77 73 69 63 P5
77 83 79 56 65 P5
79 81 77 69 57 P5
79 79 75 71 63 P5
75 80 73 71 63 P5
69 79 72 73 62 P5
66 79 74 74 62 P5
77 79 75 71 61 P5
79 79 79 71 65 P5
81 79 79 71 63 P5
79 81 78 65 64 P5
78 81 78 63 58 P5
76 80 75 70 65 P5
78 81 77 74 63 P5
79 81 79 71 63 P5
79 83 78 60 61 P5
81 82 77 63 63 P5
75 82 75 60 58 P5
75 83 73 58 56 P5
65 77 67 72 63 P5
65 81 64 70 63 P5
60 83 63 69 57 P5
66 80 67 73 54 P5
67 78 68 75 55 P5
75 79 73 77 60 P5
77 81 71 77 57 P5
78 80 77 77 58 P5
79 79 77 67 71 P6
78 79 77 69 72 P6
79 79 77 69 71 P6
78 80 77 69 72 P6
78 80 74 68 73 P6
77 80 75 67 73 P6
79 79 75 67 72 P6
79 80 75 67 71 P6
79 78 76 67 71 P6
79 79 76 67 71 P6
78 79 75 65 71 P6
77 79 73 65 71 P6
75 79 73 67 71 P6
71 80 73 69 71 P6
71 80 74 67 73 P6
73 80 73 67 73 P6
76 79 73 66 71 P6
77 79 74 65 71 P6
77 79 73 66 71 P6
77 80 73 66 71 P6
79 80 73 60 71 P6
79 81 71 55 70 P6
79 79 71 60 70 P6
77 79 71 65 69 P6
75 81 71 65 71 P6
73 80 71 65 71 P6
54 80 69 74 68 P6
67 79 72 72 69 P6
71 79 71 69 69 P6
73 79 71 67 71 P6
69 79 71 71 69 P6
61 81 75 77 68 P6
71 79 75 69 72 P6
72 78 72 66 71 P6
75 80 73 62 73 P6
75 78 81 77 77 P7
75 77 80 75 75 P7
77 81 77 68 75 P7
77 82 77 76 75 P7
78 83 73 75 75 P7
77 81 73 77 73 P7
77 81 69 77 71 P7
77 81 71 72 73 P7
77 81 71 66 72 P7
78 81 69 73 69 P7
74 78 75 75 69 P7
75 80 72 75 68 P7
75 78 78 77 74 P7
78 81 83 79 73 P7
75 79 68 73 71 P7
70 81 75 73 75 P7
75 80 75 68 73 P7
75 81 71 68 75 P7
77 81 75 59 75 P7
77 80 77 70 75 P7
77 81 79 79 78 P7
79 80 77 77 77 P7
77 81 73 61 74 P7
77 80 77 71 75 P7
77 80 74 63 71 P7
75 77 77 78 76 P7
77 77 75 79 77 P7
77 80 79 76 75 P7
77 79 81 79 76 P7
77 78 81 79 75 P7
79 77 80 79 76 P7
78 77 81 79 77 P7
79 77 79 79 75 P7
78 79 77 75 75 P7
75 76 79 75 73 P7
73 77 79 71 71 P7
76 75 79 76 72 P7
77 74 77 77 71 P7
71 72 83 57 75 P8
72 71 85 68 75 P8
73 75 85 69 75 P8
73 76 85 69 74 P8
73 72 85 73 75 P8
73 75 84 68 75 P8
73 75 85 69 74 P8
72 77 85 69 71 P8
71 78 84 68 71 P8
63 71 85 67 77 P8
63 76 81 60 74 P8
67 72 79 64 77 P8
71 74 84 77 74 P8
71 74 85 77 73 P8
72 70 85 79 73 P8
72 66 84 80 74 P8
72 63 83 77 75 P8
70 62 81 74 76 P8
68 67 79 79 75 P8
71 69 81 73 76 P8
72 75 83 61 75 P8
73 70 83 56 75 P8
74 70 84 72 76 P8
73 73 83 64 76 P8
72 75 83 68 75 P8
73 68 84 67 73 P8
74 66 83 75 75 P8
74 62 83 75 74 P8
74 65 83 77 74 P8
74 68 84 69 75 P8
73 70 83 68 73 P8
73 73 84 66 75 P8
73 72 85 68 73 P8
74 67 84 71 73 P8
74 68 83 55 75 P8
73 65 83 71 75 P8
73 66 85 77 73 P8
71 75 85 70 71 P8
75 65 83 79 69 P9
75 65 83 79 68 P9
75 67 82 79 69 P9
75 66 82 79 69 P9
75 65 82 79 69 P9
75 65 82 79 68 P9
75 64 82 79 69 P9
75 64 82 79 71 P9
74 62 83 79 73 P9
73 64 83 79 71 P9
75 64 83 79 71 P9
75 58 83 77 71 P9
73 62 83 77 70 P9
75 64 82 79 71 P9
74 63 82 79 73 P9
74 63 82 79 73 P9
75 63 83 78 70 P9
71 68 83 80 74 P9
73 65 83 81 73 P9
74 66 83 80 74 P9
72 66 84 81 75 P9
73 66 84 81 72 P9
74 67 84 79 67 P9
73 68 83 78 62 P9
75 64 83 77 66 P9
75 67 83 78 69 P9
75 67 84 78 65 P9
75 67 82 77 69 P9
75 68 83 79 75 P9
75 69 83 79 69 P9
75 68 83 78 67 P9
75 68 83 77 70 P9
75 70 83 79 66 P9
74 66 83 81 69 P9
72 66 82 83 71 P9
73 66 82 83 71 P9
59 77 70 79 67 P10
55 77 71 78 63 P10
56 77 70 78 67 P10
55 78 66 79 67 P10
57 79 68 81 71 P10
61 73 79 79 69 P10
59 77 75 78 69 P10
61 78 69 79 62 P10
